Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,Global_Sales_Log
PSP,2007,Racing,Sega,0.44,0.67,0.0,0.37,1.48,7.8,0.9082585601768908
DS,2006,Adventure,THQ,0.43,0.88,0.0,0.18,1.48,6.5,0.9082585601768908
PS3,2011,Shooter,Sony Computer Entertainment,0.64,0.57,0.05,0.22,1.48,7.8,0.9082585601768908
DS,2008,Adventure,THQ,0.99,0.35,0.0,0.13,1.48,5.5,0.9082585601768908
Wii,2009,Misc,Disney Interactive Studios,1.07,0.28,0.0,0.13,1.48,7.1,0.9082585601768908
X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,7.1,0.9082585601768908
PS2,2005,Sports,Take-Two Interactive,0.72,0.56,0.0,0.19,1.48,7.4,0.9082585601768908
PS2,2004,Fighting,Electronic Arts,1.08,0.2,0.0,0.2,1.48,9.0,0.9082585601768908
X360,2011,Action,LucasArts,0.84,0.51,0.0,0.13,1.48,7.8,0.9082585601768908
XB,2004,Action,Ubisoft,0.82,0.59,0.0,0.07,1.48,8.6,0.9082585601768908
3DS,2013,Platform,Nintendo,0.52,0.77,0.07,0.11,1.47,7.7,0.9042181506398859
DS,2007,Simulation,Ubisoft,0.39,0.91,0.0,0.17,1.47,7.5,0.9042181506398859
GBA,2003,Platform,THQ,1.04,0.37,0.0,0.06,1.47,7.7,0.9042181506398859
N64,1999,Action,Nintendo,0.62,0.18,0.65,0.02,1.47,7.4,0.9042181506398859
PSV,2012,Action,Activision,0.71,0.43,0.07,0.26,1.47,4.8,0.9042181506398859
X360,2012,Shooter,Ubisoft,0.93,0.4,0.02,0.12,1.47,7.2,0.9042181506398859
X360,2006,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47,8.8,0.9042181506398859
PS,1998,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46,8.4,0.9001613499442714
GBA,2004,Platform,THQ,1.02,0.38,0.0,0.06,1.46,7.7,0.9001613499442714
DS,2010,Puzzle,Warner Bros. Interactive Entertainment,1.06,0.29,0.0,0.11,1.46,8.2,0.9001613499442714
PS2,2003,Misc,Midway Games,0.72,0.56,0.0,0.19,1.46,7.1,0.9001613499442714
PS,2007,Sports,Unknown,0.81,0.55,0.0,0.1,1.46,7.4,0.9001613499442714
3DS,2013,Role-Playing,Square Enix,0.06,0.09,1.3,0.01,1.46,7.8,0.9001613499442714
GC,2001,Puzzle,Atari,0.95,0.37,0.1,0.04,1.46,7.9,0.9001613499442714
PS3,2008,Fighting,Ubisoft,0.72,0.4,0.14,0.2,1.46,7.9,0.9001613499442714
2600,1981,Platform,Coleco,1.36,0.08,0.0,0.02,1.46,7.7,0.9001613499442714
PS,1998,Fighting,GT Interactive,0.81,0.55,0.0,0.1,1.46,7.6,0.9001613499442714
Wii,2009,Sports,Nintendo,0.35,0.69,0.28,0.14,1.46,7.4,0.9001613499442714
GC,2005,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46,8.6,0.9001613499442714
DS,2008,Platform,THQ,0.46,0.82,0.0,0.17,1.46,7.7,0.9001613499442714
PS,1998,Fighting,THQ,1.17,0.2,0.04,0.05,1.46,7.6,0.9001613499442714
X360,2008,Shooter,Electronic Arts,0.81,0.46,0.04,0.15,1.46,7.7,0.9001613499442714
X360,2011,Shooter,THQ,0.83,0.48,0.02,0.12,1.45,6.0,0.8960880245566356
PS2,2004,Action,Capcom,0.37,0.47,0.54,0.07,1.45,8.6,0.8960880245566356
PS3,2014,Sports,Electronic Arts,1.08,0.11,0.0,0.27,1.45,2.7,0.8960880245566356
PS2,2004,Shooter,Take-Two Interactive,0.71,0.55,0.0,0.19,1.45,7.8,0.8960880245566356
PS2,2003,Action,Capcom,0.54,0.35,0.46,0.1,1.45,8.3,0.8960880245566356
GB,1996,Simulation,Namco Bandai Games,0.0,0.0,1.44,0.01,1.45,7.5,0.8960880245566356
NES,1984,Misc,Nintendo,0.0,0.0,1.45,0.0,1.45,7.1,0.8960880245566356
SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,1.45,0.0,1.45,7.6,0.8960880245566356
GB,1997,Simulation,Namco Bandai Games,0.0,0.0,1.44,0.01,1.45,7.5,0.8960880245566356
N64,1999,Misc,Namco Bandai Games,1.24,0.17,0.03,0.01,1.45,7.1,0.8960880245566356
PS3,2011,Role-Playing,Electronic Arts,0.78,0.45,0.03,0.19,1.45,8.5,0.8960880245566356
DS,2011,Strategy,Warner Bros. Interactive Entertainment,1.02,0.32,0.0,0.11,1.45,6.9,0.8960880245566356
PS2,2005,Sports,Activision,1.38,0.05,0.0,0.02,1.45,7.4,0.8960880245566356
PS4,2013,Sports,Take-Two Interactive,0.89,0.31,0.01,0.23,1.45,6.5,0.8960880245566356
Wii,2008,Shooter,Sega,0.77,0.49,0.03,0.15,1.44,7.4,0.8919980393051105
PS2,2007,Misc,Sony Computer Entertainment,0.04,1.08,0.0,0.32,1.44,7.5,0.8919980393051105
SNES,1996,Platform,Nintendo,0.26,0.07,1.09,0.02,1.44,7.7,0.8919980393051105
Wii,2010,Racing,Sega,0.61,0.68,0.0,0.15,1.44,7.4,0.8919980393051105
X360,2013,Action,Disney Interactive Studios,0.97,0.34,0.0,0.13,1.44,6.5,0.8919980393051105
DS,2007,Misc,Ubisoft,0.37,0.89,0.0,0.18,1.44,6.8,0.8919980393051105
PS2,2004,Sports,Electronic Arts,1.03,0.32,0.0,0.09,1.44,8.2,0.8919980393051105
PS2,2002,Sports,Electronic Arts,1.16,0.08,0.0,0.19,1.44,8.6,0.8919980393051105
X360,2010,Action,LucasArts,0.95,0.37,0.0,0.11,1.43,5.7,0.8878912573524571
PS,1999,Action,Hasbro Interactive,0.8,0.54,0.0,0.09,1.43,7.9,0.8878912573524571
X360,2007,Fighting,THQ,0.92,0.38,0.0,0.13,1.43,6.8,0.8878912573524571
X360,2010,Racing,Microsoft Game Studios,0.92,0.39,0.0,0.12,1.43,5.0,0.8878912573524571
Wii,2007,Misc,Electronic Arts,0.52,0.75,0.0,0.16,1.43,7.6,0.8878912573524571
PSP,2006,Fighting,Sega,0.53,0.57,0.0,0.34,1.43,7.6,0.8878912573524571
GB,1988,Platform,Capcom,0.82,0.23,0.35,0.03,1.43,7.7,0.8878912573524571
DS,2007,Adventure,Disney Interactive Studios,1.12,0.19,0.0,0.11,1.43,7.6,0.8878912573524571
GBA,2004,Platform,Nintendo,0.0,0.0,1.39,0.03,1.43,8.6,0.8878912573524571
PS,1999,Sports,Electronic Arts,0.79,0.54,0.0,0.09,1.43,7.4,0.8878912573524571
PC,2011,Strategy,Ubisoft,0.0,1.13,0.0,0.29,1.43,7.0,0.8878912573524571
Wii,2008,Puzzle,Electronic Arts,0.96,0.33,0.0,0.13,1.43,7.5,0.8878912573524571
PSP,2006,Racing,Sega,0.73,0.42,0.0,0.27,1.42,7.8,0.8837675401685949
PS3,2008,Shooter,Take-Two Interactive,0.75,0.46,0.01,0.2,1.42,8.7,0.8837675401685949
PS3,2012,Role-Playing,Electronic Arts,0.63,0.56,0.03,0.2,1.42,5.5,0.8837675401685949
PS2,2002,Sports,Activision,0.7,0.54,0.0,0.18,1.42,7.8,0.8837675401685949
PS2,2005,Sports,Electronic Arts,1.35,0.05,0.0,0.02,1.42,7.4,0.8837675401685949
PC,2013,Simulation,Electronic Arts,0.48,0.77,0.0,0.17,1.42,2.2,0.8837675401685949
GBA,2004,Action,Nintendo,0.89,0.22,0.22,0.1,1.42,9.0,0.8837675401685949
PS2,2004,Sports,Electronic Arts,1.15,0.08,0.0,0.19,1.42,8.9,0.8837675401685949
SNES,1994,Action,Nintendo,0.57,0.12,0.71,0.02,1.42,7.4,0.8837675401685949
NES,1987,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0,1.42,7.4,0.8837675401685949
PS3,2011,Shooter,Electronic Arts,0.73,0.48,0.0,0.21,1.42,8.4,0.8837675401685949
Wii,2008,Sports,Electronic Arts,0.8,0.47,0.0,0.14,1.42,8.7,0.8837675401685949
PS3,2013,Action,Konami Digital Entertainment,0.45,0.37,0.44,0.16,1.42,7.9,0.8837675401685949
GC,2002,Action,Capcom,0.63,0.38,0.35,0.05,1.42,7.4,0.8837675401685949
Wii,2006,Misc,Ubisoft,1.22,0.06,0.02,0.11,1.42,7.9,0.8837675401685949
DS,2010,Role-Playing,Square Enix,0.09,0.07,1.24,0.02,1.41,7.3,0.8796267475025636
PS3,2010,Fighting,THQ,0.8,0.4,0.02,0.18,1.41,7.2,0.8796267475025636
GC,2005,Action,Eidos Interactive,1.09,0.28,0.0,0.04,1.41,7.4,0.8796267475025636
PS3,2012,Action,Electronic Arts,0.48,0.62,0.06,0.26,1.41,6.0,0.8796267475025636
GEN,1994,Platform,Virgin Interactive,0.97,0.37,0.03,0.05,1.41,7.7,0.8796267475025636
X360,2009,Misc,Sega,0.85,0.43,0.0,0.13,1.41,8.5,0.8796267475025636
DS,2007,Misc,Rising Star Games,0.78,0.51,0.0,0.12,1.41,7.1,0.8796267475025636
Wii,2010,Simulation,Electronic Arts,0.57,0.69,0.0,0.14,1.41,2.5,0.8796267475025636
PS,1999,Fighting,Electronic Arts,1.02,0.34,0.0,0.05,1.41,7.6,0.8796267475025636
PS2,2003,Racing,Sony Computer Entertainment,0.0,0.47,0.77,0.17,1.41,7.4,0.8796267475025636
X360,2013,Role-Playing,Activision,0.9,0.39,0.0,0.12,1.41,6.6,0.8796267475025636
PS2,2001,Racing,Sony Computer Entertainment,1.19,0.17,0.0,0.05,1.41,8.4,0.8796267475025636
PS2,2004,Racing,Electronic Arts,0.69,0.54,0.0,0.18,1.41,8.4,0.8796267475025636
X360,2009,Fighting,Electronic Arts,0.95,0.33,0.0,0.13,1.4,8.1,0.8754687373538999
XB,2002,Action,Activision,1.07,0.28,0.0,0.05,1.4,7.5,0.8754687373538999
PSP,2006,Action,LucasArts,0.58,0.5,0.0,0.32,1.4,8.6,0.8754687373538999
X360,2008,Action,Electronic Arts,0.89,0.39,0.0,0.13,1.4,8.7,0.8754687373538999
PS2,2008,Racing,Electronic Arts,0.38,0.08,0.03,0.93,1.4,6.5,0.8754687373538999
PS,1996,Sports,Sony Computer Entertainment,1.15,0.2,0.0,0.05,1.4,7.4,0.8754687373538999
Wii,2009,Action,Activision,0.9,0.38,0.0,0.12,1.4,6.1,0.8754687373538999
PSP,2004,Racing,Sony Computer Entertainment,0.36,0.44,0.32,0.27,1.4,8.2,0.8754687373538999
GBA,2004,Platform,THQ,0.74,0.52,0.08,0.06,1.4,8.4,0.8754687373538999
NES,1990,Role-Playing,SquareSoft,0.0,0.0,1.39,0.01,1.4,7.8,0.8754687373538999
PS4,2014,Action,Square Enix,0.47,0.65,0.06,0.22,1.4,7.4,0.8754687373538999
PS2,2002,Racing,Codemasters,0.03,1.05,0.02,0.3,1.4,7.7,0.8754687373538999
XOne,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4,8.2,0.8754687373538999
PS,2001,Sports,Electronic Arts,0.78,0.53,0.0,0.09,1.39,8.0,0.8712933659434192
DS,2009,Role-Playing,Nintendo,0.0,0.19,1.18,0.03,1.39,7.8,0.8712933659434192
SNES,1994,Sports,Acclaim Entertainment,1.19,0.16,0.0,0.03,1.39,7.4,0.8712933659434192
NES,1991,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39,7.4,0.8712933659434192
PS2,2005,Action,Tecmo Koei,0.24,0.18,0.91,0.06,1.39,8.8,0.8712933659434192
Wii,2007,Action,Disney Interactive Studios,0.87,0.38,0.0,0.13,1.39,7.4,0.8712933659434192
X360,2013,Fighting,Warner Bros. Interactive Entertainment,0.97,0.3,0.0,0.11,1.38,7.9,0.8671004876833832
PS3,2008,Action,Ubisoft,0.43,0.69,0.01,0.26,1.38,6.4,0.8671004876833832
3DS,2014,Platform,Nintendo,0.48,0.53,0.28,0.09,1.38,6.1,0.8671004876833832
Wii,2012,Action,Warner Bros. Interactive Entertainment,0.9,0.37,0.0,0.11,1.38,7.1,0.8671004876833832
XB,2003,Action,Activision,0.96,0.37,0.0,0.05,1.38,7.8,0.8671004876833832
Wii,2010,Action,Disney Interactive Studios,0.63,0.62,0.0,0.14,1.38,7.4,0.8671004876833832
3DS,2012,Role-Playing,Nintendo,0.5,0.32,0.49,0.08,1.38,7.8,0.8671004876833832
XOne,2013,Action,Microsoft Game Studios,0.83,0.43,0.0,0.13,1.38,6.1,0.8671004876833832
XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,0.0,0.14,1.38,7.3,0.8671004876833832
N64,2000,Role-Playing,Nintendo,0.58,0.18,0.59,0.02,1.38,7.8,0.8671004876833832
XOne,2015,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38,8.0,0.8671004876833832
PS,1998,Shooter,Take-Two Interactive,0.77,0.54,0.0,0.07,1.38,7.4,0.8671004876833832
X360,2011,Platform,Sega,0.71,0.53,0.0,0.13,1.38,8.3,0.8671004876833832
PS2,2001,Sports,Acclaim Entertainment,0.67,0.53,0.0,0.18,1.38,8.1,0.8671004876833832
DS,2009,Action,Activision,1.26,0.02,0.0,0.1,1.38,6.7,0.8671004876833832
PS2,2008,Action,LucasArts,0.6,0.01,0.0,0.76,1.37,8.4,0.8628899551470399
X360,2011,Shooter,Square Enix,0.76,0.47,0.02,0.12,1.37,8.3,0.8628899551470399
PS,1998,Misc,Activision,0.76,0.52,0.0,0.09,1.37,7.1,0.8628899551470399
DS,2007,Role-Playing,Square Enix,0.33,0.41,0.54,0.1,1.37,6.1,0.8628899551470399
Wii,2010,Shooter,Activision,0.8,0.45,0.0,0.12,1.37,5.8,0.8628899551470399
PS3,2011,Shooter,Square Enix,0.5,0.59,0.07,0.22,1.37,8.2,0.8628899551470399
XB,2004,Role-Playing,Activision,0.99,0.33,0.0,0.05,1.37,8.6,0.8628899551470399
N64,1998,Strategy,Nintendo,0.0,0.0,1.37,0.0,1.37,7.8,0.8628899551470399
PSP,2005,Simulation,Electronic Arts,0.49,0.55,0.0,0.33,1.37,6.9,0.8628899551470399
PS3,2010,Action,Capcom,0.43,0.56,0.15,0.21,1.36,6.7,0.8586616190375187
PS3,2006,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.36,7.1,0.8586616190375187
XB,2004,Shooter,Ubisoft,0.86,0.45,0.0,0.06,1.36,8.9,0.8586616190375187
X360,2011,Action,Electronic Arts,0.63,0.57,0.0,0.15,1.36,6.0,0.8586616190375187
GBA,2003,Platform,Vivendi Games,0.63,0.66,0.0,0.07,1.36,7.8,0.8586616190375187
X360,2014,Shooter,Electronic Arts,0.87,0.34,0.02,0.13,1.36,5.9,0.8586616190375187
PS2,2008,Misc,Sony Computer Entertainment,0.23,0.04,0.0,1.09,1.36,7.1,0.8586616190375187
NES,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01,1.36,7.4,0.8586616190375187
SNES,1996,Role-Playing,Enix Corporation,0.0,0.0,1.36,0.0,1.36,7.8,0.8586616190375187
2600,1981,Shooter,Atari,1.26,0.08,0.0,0.01,1.36,7.4,0.8586616190375187
PS2,2002,Shooter,Electronic Arts,0.67,0.52,0.0,0.17,1.36,8.9,0.8586616190375187
PS3,2012,Action,THQ,0.51,0.6,0.0,0.25,1.35,8.1,0.8544153281560676
PS,1999,Simulation,Konami Digital Entertainment,0.0,0.0,1.26,0.09,1.35,7.5,0.8544153281560676
Wii,2009,Misc,Electronic Arts,0.7,0.52,0.0,0.13,1.35,6.3,0.8544153281560676
PS,1997,Sports,Electronic Arts,1.29,0.03,0.0,0.03,1.35,7.4,0.8544153281560676
DS,2009,Puzzle,505 Games,0.79,0.42,0.01,0.13,1.35,9.3,0.8544153281560676
X360,2008,Racing,Electronic Arts,0.63,0.57,0.01,0.14,1.35,6.9,0.8544153281560676
XOne,2014,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,1.35,8.0,0.8544153281560676
PS3,2008,Racing,Sony Computer Entertainment,0.43,0.65,0.02,0.25,1.35,8.0,0.8544153281560676
PS2,2004,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35,8.7,0.8544153281560676
PC,2013,Shooter,Electronic Arts,0.39,0.87,0.0,0.1,1.35,6.0,0.8544153281560676
XB,2003,Racing,Vivendi Games,0.7,0.58,0.0,0.07,1.35,7.4,0.8544153281560676
XOne,2016,Shooter,Microsoft Game Studios,0.78,0.44,0.0,0.12,1.35,6.2,0.8544153281560676
PS,1997,Role-Playing,SquareSoft,0.15,0.04,1.07,0.09,1.35,7.8,0.8544153281560676
PS2,2004,Misc,Sony Computer Entertainment,0.0,1.04,0.0,0.31,1.35,7.1,0.8544153281560676
PSP,2007,Sports,Electronic Arts,0.2,0.76,0.0,0.39,1.35,7.4,0.8544153281560676
PSP,2008,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35,8.9,0.8544153281560676
Wii,2007,Adventure,Disney Interactive Studios,1.22,0.03,0.0,0.09,1.35,4.3,0.8544153281560676
X360,2007,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35,7.9,0.8544153281560676
PS2,2002,Racing,Atari,0.95,0.21,0.01,0.18,1.34,7.4,0.8501509293696101
X360,2008,Action,Capcom,0.79,0.34,0.08,0.13,1.34,8.0,0.8501509293696101
PS3,2008,Shooter,Ubisoft,0.66,0.44,0.04,0.21,1.34,7.9,0.8501509293696101
Wii,2010,Action,Nintendo,0.85,0.27,0.13,0.1,1.34,6.5,0.8501509293696101
X360,2011,Action,Electronic Arts,0.71,0.49,0.02,0.12,1.34,7.5,0.8501509293696101
DS,2008,Role-Playing,Square Enix,0.61,0.16,0.49,0.08,1.34,8.9,0.8501509293696101
PS3,2011,Fighting,Capcom,0.81,0.28,0.11,0.14,1.34,7.3,0.8501509293696101
GEN,1994,Fighting,Acclaim Entertainment,1.03,0.27,0.0,0.04,1.34,7.6,0.8501509293696101
XB,2005,Shooter,Activision,0.85,0.43,0.0,0.06,1.34,7.4,0.8501509293696101
XOne,2015,Shooter,Ubisoft,0.77,0.45,0.0,0.12,1.34,6.9,0.8501509293696101
PS3,2010,Racing,Codemasters,0.25,0.75,0.08,0.26,1.34,7.8,0.8501509293696101
PSP,2005,Role-Playing,Capcom,0.24,0.03,1.03,0.04,1.34,8.6,0.8501509293696101
GC,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,8.3,0.8501509293696101
PS2,2006,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,8.4,0.8501509293696101
X360,2006,Shooter,Capcom,1.09,0.04,0.1,0.1,1.34,7.1,0.8501509293696101
PC,2000,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34,7.8,0.8501509293696101
PS3,2014,Sports,Take-Two Interactive,0.87,0.21,0.02,0.24,1.34,3.5,0.8501509293696101
PS2,2003,Shooter,Take-Two Interactive,0.65,0.51,0.0,0.17,1.34,8.2,0.8501509293696101
PS3,2008,Shooter,Electronic Arts,0.76,0.35,0.05,0.18,1.34,8.1,0.8501509293696101
PS2,2004,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34,8.6,0.8501509293696101
3DS,2016,Action,Level 5,0.0,0.0,1.33,0.0,1.33,7.4,0.8458682675776092
PS2,2004,Platform,Sony Computer Entertainment,1.27,0.05,0.0,0.02,1.33,7.7,0.8458682675776092
X360,2010,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,8.1,0.8458682675776092
GBA,2002,Action,Activision,0.92,0.35,0.01,0.05,1.33,7.4,0.8458682675776092
N64,1998,Fighting,Acclaim Entertainment,1.08,0.24,0.0,0.02,1.33,7.6,0.8458682675776092
GB,2000,Sports,Activision,0.9,0.38,0.01,0.05,1.33,7.4,0.8458682675776092
GBA,2003,Simulation,Electronic Arts,0.93,0.35,0.0,0.06,1.33,7.5,0.8458682675776092
PS,2000,Sports,Electronic Arts,0.74,0.5,0.0,0.09,1.33,7.4,0.8458682675776092
GC,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,8.8,0.8458682675776092
PS4,2016,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33,7.8,0.8458682675776092
PS2,2004,Racing,TDK Mediactive,0.65,0.51,0.0,0.17,1.33,6.5,0.8458682675776092
PS3,2007,Fighting,THQ,0.62,0.49,0.01,0.2,1.33,7.3,0.8458682675776092
X360,2013,Platform,Activision,0.86,0.34,0.0,0.12,1.32,5.7,0.8415671856782186
DS,2009,Action,Take-Two Interactive,0.58,0.56,0.05,0.14,1.32,8.3,0.8415671856782186
X360,2010,Fighting,THQ,0.9,0.31,0.0,0.11,1.32,6.7,0.8415671856782186
PC,2008,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.32,7.5,0.8415671856782186
NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32,7.5,0.8415671856782186
PS,1998,Racing,Codemasters,0.03,1.16,0.02,0.11,1.32,7.4,0.8415671856782186
PS2,2002,Sports,Atari,1.06,0.08,0.0,0.18,1.32,7.4,0.8415671856782186
PSV,2012,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,7.2,0.8415671856782186
PS,1997,Fighting,Eidos Interactive,0.73,0.5,0.0,0.09,1.32,7.6,0.8415671856782186
DS,2007,Simulation,Ubisoft,0.71,0.48,0.0,0.13,1.32,7.5,0.8415671856782186
GBA,2003,Role-Playing,Capcom,0.31,0.04,0.96,0.01,1.32,7.8,0.8415671856782186
X360,2010,Sports,Ubisoft,0.79,0.41,0.0,0.11,1.32,7.5,0.8415671856782186
PSP,2005,Racing,Electronic Arts,0.69,0.37,0.02,0.24,1.32,8.5,0.8415671856782186
PS,1996,Sports,Electronic Arts,0.73,0.5,0.0,0.09,1.32,7.4,0.8415671856782186
PS3,2011,Adventure,Sony Computer Entertainment,0.67,0.34,0.13,0.17,1.31,7.6,0.8372475245337022
PS,1996,Racing,ASC Games,0.73,0.5,0.0,0.09,1.31,7.4,0.8372475245337022
PS3,2010,Shooter,Sony Computer Entertainment,0.77,0.29,0.09,0.16,1.31,7.4,0.8372475245337022
PS2,2002,Racing,Bethesda Softworks,0.64,0.5,0.0,0.17,1.31,7.4,0.8372475245337022
PS3,2011,Shooter,Bethesda Softworks,0.47,0.58,0.06,0.2,1.31,6.2,0.8372475245337022
PS3,2010,Action,Warner Bros. Interactive Entertainment,0.55,0.55,0.0,0.21,1.31,8.0,0.8372475245337022
PS2,2005,Platform,Activision,0.78,0.45,0.0,0.07,1.31,7.4,0.8372475245337022
XOne,2015,Role-Playing,Namco Bandai Games,0.69,0.5,0.0,0.11,1.31,9.2,0.8372475245337022
PS,1999,Adventure,THQ,0.57,0.67,0.0,0.07,1.31,7.6,0.8372475245337022
2600,1983,Platform,Activision,1.22,0.07,0.0,0.02,1.31,7.7,0.8372475245337022
PS2,2002,Shooter,Acclaim Entertainment,0.64,0.5,0.0,0.17,1.31,7.3,0.8372475245337022
X360,2009,Action,Activision,0.84,0.35,0.0,0.12,1.31,7.8,0.8372475245337022
XB,2004,Racing,Electronic Arts,0.84,0.43,0.0,0.04,1.31,7.2,0.8372475245337022
X360,2009,Misc,MTV Games,0.97,0.23,0.0,0.11,1.3,8.6,0.832909122935104
2600,2007,Adventure,Atari,1.21,0.08,0.0,0.01,1.3,7.6,0.832909122935104
GBA,2002,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.3,7.8,0.832909122935104
PS2,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,6.0,0.832909122935104
WiiU,2015,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,8.5,0.832909122935104
X360,2012,Action,Activision,0.75,0.44,0.0,0.11,1.3,6.6,0.832909122935104
PS2,2005,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,1.3,8.3,0.832909122935104
SNES,1995,Role-Playing,SquareSoft,0.0,0.0,1.29,0.01,1.3,7.8,0.832909122935104
PS,1997,Racing,Accolade,1.05,0.2,0.0,0.05,1.3,7.4,0.832909122935104
X360,2009,Fighting,Namco Bandai Games,0.71,0.41,0.05,0.12,1.3,7.0,0.832909122935104
XOne,2015,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3,6.1,0.832909122935104
PS,1999,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3,7.8,0.832909122935104
PS3,2014,Shooter,Ubisoft,0.34,0.68,0.08,0.19,1.29,7.3,0.8285518175661483
DS,2010,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29,8.2,0.8285518175661483
PS3,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.39,0.0,0.19,1.29,7.7,0.8285518175661483
GBA,2002,Role-Playing,Capcom,0.39,0.02,0.85,0.03,1.29,7.8,0.8285518175661483
GC,2002,Action,Capcom,0.54,0.27,0.45,0.04,1.29,7.4,0.8285518175661483
Wii,2008,Misc,Disney Interactive Studios,0.67,0.49,0.0,0.13,1.29,7.1,0.8285518175661483
PS3,2011,Action,Electronic Arts,0.46,0.56,0.06,0.21,1.29,7.2,0.8285518175661483
GBA,2003,Platform,TDK Mediactive,0.93,0.34,0.0,0.02,1.29,6.2,0.8285518175661483
DS,2005,Role-Playing,Nintendo,0.74,0.05,0.43,0.07,1.29,7.8,0.8285518175661483
DS,2007,Misc,Atari,1.13,0.01,0.06,0.09,1.29,5.9,0.8285518175661483
Wii,2009,Misc,Zoo Games,1.2,0.0,0.0,0.09,1.29,5.0,0.8285518175661483
PS2,2004,Shooter,Atari,0.63,0.49,0.0,0.16,1.29,8.6,0.8285518175661483
XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,7.8,0.8285518175661483
PC,2015,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29,5.4,0.8285518175661483
DS,2010,Platform,Sega,0.69,0.47,0.01,0.12,1.29,7.9,0.8285518175661483
PS3,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,7.5,0.8285518175661483
Wii,2007,Sports,Electronic Arts,0.68,0.47,0.0,0.13,1.29,7.6,0.8285518175661483
PS2,2005,Racing,Take-Two Interactive,1.22,0.05,0.0,0.01,1.29,7.4,0.8285518175661483
Wii,2008,Sports,Ubisoft,1.1,0.03,0.06,0.09,1.28,8.4,0.8241754429663495
XOne,2015,Role-Playing,Bethesda Softworks,0.78,0.38,0.0,0.12,1.28,8.4,0.8241754429663495
PS2,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28,8.4,0.8241754429663495
PSP,2007,Action,Warner Bros. Interactive Entertainment,0.57,0.44,0.0,0.27,1.28,7.4,0.8241754429663495
GB,1989,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28,7.1,0.8241754429663495
PS,1999,Action,3DO,1.1,0.14,0.0,0.04,1.28,7.4,0.8241754429663495
DS,2008,Simulation,Ubisoft,0.55,0.59,0.0,0.14,1.28,7.5,0.8241754429663495
PS,1999,Racing,989 Studios,1.07,0.16,0.0,0.04,1.28,7.4,0.8241754429663495
PS2,2003,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28,8.3,0.8241754429663495
Wii,2006,Racing,Electronic Arts,0.45,0.66,0.02,0.15,1.28,7.3,0.8241754429663495
PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28,8.9,0.8241754429663495
PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,9.4,0.8197798314933114
Wii,2008,Misc,Activision,1.03,0.14,0.0,0.1,1.27,7.2,0.8197798314933114
X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0.0,0.11,1.27,7.2,0.8197798314933114
